Qi,ri,M,amps,dur
-8.0,1.0,1,2.4514290758525788e-14,0.01983765546079414
-8.0,2.0,1,6.12857188099186e-15,0.15648449341777396
-8.0,3.0,1,2.7238091258955994e-15,0.5271481275534666
-8.0,4.0,1,1.5321421616128684e-15,1.2490570081647805
-8.0,5.0,1,9.80570595288228e-16,2.4382699111990602
-8.0,6.0,1,6.809514728406131e-16,4.21037863971974
-7.5,1.0,1,2.4514281054647598e-15,0.6177278700361646
-7.5,2.0,1,6.128562177273067e-16,4.930125520950311
-7.5,3.0,1,2.7237994222382124e-16,16.602016150864237
-7.5,4.0,1,1.532132457995492e-16,39.26601832990314
-7.5,5.0,1,9.805608917047815e-17,76.52179027623137
-7.5,6.0,1,6.809417692901244e-17,131.93789195734794
-7.0,1.0,1,2.4514184016051603e-16,19.437509009528068
-7.0,2.0,1,6.128465140829444e-17,154.41690769834213
-7.0,3.0,1,2.7237023873390757e-17,517.5433918990528
-6.5,1.0,1,2.451321364869826e-17,605.4721220114599
-8.0,3.0,10,2.723810193298751e-12,0.004790400281378844
-8.0,4.0,10,1.5321432290133194e-12,0.011354171197531527
-8.0,5.0,10,9.805716626869585e-13,0.022174452682055174
-8.0,6.0,10,6.809525402380922e-13,0.038314580641059984
-7.5,1.0,10,2.4514291728883175e-12,0.005610515055203688
-7.5,2.0,10,6.128572851349169e-13,0.04487347956625218
-7.5,3.0,10,2.7238100962528007e-13,0.17361075853640556
-7.5,4.0,10,1.5321431319699239e-13,0.39210617998094927
-7.5,5.0,10,9.805715656450969e-14,0.7672130480817313
-7.5,6.0,10,6.809524431972544e-14,1.3324484926881321
-7.0,1.0,10,2.4514290758219454e-13,0.19842209508776357
-7.0,2.0,10,6.12857188083867e-14,1.5650041258635716
-7.0,3.0,10,2.7238091257934654e-14,5.27183483549421
-7.0,4.0,10,1.532142161536267e-14,12.491200510099256
-7.0,5.0,10,9.805705952269456e-15,24.383685628896863
-7.0,6.0,10,6.809514727895436e-15,42.101702807096565
-6.5,1.0,10,2.451428105158413e-14,6.178530896450592
-6.5,2.0,10,6.128562175741128e-15,49.29959489676125
-6.5,3.0,10,2.7237994212168707e-15,166.02030545038366
-6.5,4.0,10,1.532132457229464e-15,392.6601947043271
-6.5,5.0,10,9.80560891091946e-16,765.2185000169944
-6.0,1.0,10,2.4514183985416622e-15,194.37667003834926
-8.0,6.0,25,1.0639883582735967e-11,0.006131987611015597
-7.5,2.0,25,9.575895221759487e-12,0.0071817995250809665
-7.5,3.0,25,4.25595341691609e-12,0.024236277024077685
-7.5,4.0,25,2.3939737852214328e-12,0.05744350150347959
-7.5,5.0,25,1.5321432128372916e-12,0.11218369891563047
-7.5,6.0,25,1.0639883340114706e-12,0.19383505181556598
-7.0,1.0,25,3.8303580725141594e-12,0.02838542833565778
-7.0,2.0,25,9.575894979074407e-13,0.2270153237433146
-7.0,3.0,25,4.2559531742629226e-13,0.8537944439967667
-7.0,4.0,25,2.393973542584228e-13,2.0125704711291923
-7.0,5.0,25,1.5321429702096672e-13,3.9125103146589297
-7.0,6.0,25,1.0639880913902373e-13,6.758120311478571
-6.5,1.0,25,3.830357829733422e-13,0.9807168010804276
-6.5,2.0,25,9.575892552223983e-14,7.899244264412015
-6.5,3.0,25,4.255950747731939e-14,26.67277894136074
-6.5,4.0,25,2.3939711162133643e-14,63.1559319414506
-6.5,5.0,25,1.5321405439352813e-14,123.24898724190317
-6.5,6.0,25,1.0639856651805862e-14,212.7869448682376
-6.0,1.0,25,3.8303554019267494e-14,31.230612665545685
-6.0,2.0,25,9.575868283749359e-15,249.15239350974448
-6.0,3.0,25,4.255926482489022e-15,838.5261140766773
-5.5,1.0,25,3.830331123934295e-15,981.6500316640972
-7.5,4.0,50,1.9151790443518973e-11,0.014363599050161933
-7.5,5.0,50,1.2257145864441585e-11,0.028052575276018444
-7.5,6.0,50,8.51190683383218e-12,0.04847255404815537
-7.0,2.0,50,7.660716145028319e-12,0.05677085667131556
-7.0,3.0,50,3.4047627011649365e-12,0.1915729071808357
-7.0,4.0,50,1.9151789958148815e-12,0.4540306474866292
-7.0,5.0,50,1.2257145379109725e-12,0.9921104754388178
-7.0,6.0,50,8.511906348525845e-13,1.7075888879935335
-6.5,1.0,50,3.0642864255980787e-12,0.22436739823975313
-6.5,2.0,50,7.660715659466844e-13,1.9614336021608552
-6.5,3.0,50,3.404762215731027e-13,6.6644450836538285
-6.5,4.0,50,1.9151785104447965e-13,15.79848852882403
-6.5,5.0,50,1.225714052579206e-13,30.892654482252965
-6.5,6.0,50,8.511901495463878e-14,53.34555788272148
-6.0,1.0,50,3.064285939654274e-13,7.833051871232595
-6.0,2.0,50,7.660710803853499e-14,62.46122533109137
-6.0,3.0,50,3.404757361395264e-14,210.50934209488446
-6.0,4.0,50,1.9151736567498718e-14,498.30478701948897
-6.0,5.0,50,1.2257091992708318e-14,971.8833501809358
-5.5,1.0,50,3.064281080219938e-14,246.4972784516888
